Text,Label,Unigrams,Bigrams,Trigrams,Agreement_Count,Disagreement_Count,Modal_Verbs,Negations
"the examples are best interpolated in the rest pose, before the SSD has been applied",background_claim,examples best interpolated rest pose ssd applied,examples best best interpolated interpolated rest rest pose pose ssd ssd applied,examples best interpolated best interpolated rest interpolated rest pose rest pose ssd pose ssd applied,0,0,,
the action of the SSD and any other deformations must be “inverted” in order to push the example compensation before these operations,background_claim,action ssd deformations inverted order push example compensation operations,action ssd ssd deformations deformations inverted inverted order order push push example example compensation compensation operations,action ssd deformations ssd deformations inverted deformations inverted order inverted order push order push example push example compensation example compensation operations,0,0,must,
SSD is the most representative in the family of basic skinning,background_claim,ssd representative family basic skinning,ssd representative representative family family basic basic skinning,ssd representative family representative family basic family basic skinning,0,0,,
this inverse strategy has a better performance than the same framework without it,own_claim,inverse strategy better performance framework,inverse strategy strategy better better performance performance framework,inverse strategy better strategy better performance better performance framework,0,0,,
this approach will improve the quality of deformation,own_claim,approach improve quality deformation,approach improve improve quality quality deformation,approach improve quality improve quality deformation,0,0,will,
they are seldom applied to interactive applications,background_claim,seldom applied interactive applications,seldom applied applied interactive interactive applications,seldom applied interactive applied interactive applications,0,0,,
the high cost of computing,data,high cost computing,high cost cost computing,high cost computing,0,0,,
complicated algorithms,data,complicated algorithms,complicated algorithms,,0,0,,
this category can generate more believable animation effects compared to its geometric counterpart,background_claim,category generate believable animation effects compared geometric counterpart,category generate generate believable believable animation animation effects effects compared compared geometric geometric counterpart,category generate believable generate believable animation believable animation effects animation effects compared effects compared geometric compared geometric counterpart,0,0,can,
Pose Space Deformation,background_claim,pose space deformation,pose space space deformation,pose space deformation,0,0,,
combines shape blending and Skeleton Subspace Deformation by formulating a scattered data interpolation problem over sculpted (or otherwise obtained) example poses,background_claim,combines shape blending skeleton subspace deformation formulating scattered data interpolation problem sculpted obtained example poses,combines shape shape blending blending skeleton skeleton subspace subspace deformation deformation formulating formulating scattered scattered data data interpolation interpolation problem problem sculpted sculpted obtained obtained example example poses,combines shape blending shape blending skeleton blending skeleton subspace skeleton subspace deformation subspace deformation formulating deformation formulating scattered formulating scattered data scattered data interpolation data interpolation problem interpolation problem sculpted problem sculpted obtained sculpted obtained example obtained example poses,0,0,,
[ 1 ],data,1,,,0,0,,
Related research efforts have improved the speed and power of example-based skinning,background_claim,related research efforts improved speed power example based skinning,related research research efforts efforts improved improved speed speed power power example example based based skinning,related research efforts research efforts improved efforts improved speed improved speed power speed power example power example based example based skinning,0,0,,
incorporate linear elements into RBF to produce constant changes between examples,background_claim,incorporate linear elements rbf produce constant changes examples,incorporate linear linear elements elements rbf rbf produce produce constant constant changes changes examples,incorporate linear elements linear elements rbf elements rbf produce rbf produce constant produce constant changes constant changes examples,0,0,,
[ 2 ],data,2,,,0,0,,
precompute principal components of the deformation influences for individual kinematic joints instead of storing displacements for key poses,background_claim,precompute principal components deformation influences individual kinematic joints instead storing displacements key poses,precompute principal principal components components deformation deformation influences influences individual individual kinematic kinematic joints joints instead instead storing storing displacements displacements key key poses,precompute principal components principal components deformation components deformation influences deformation influences individual influences individual kinematic individual kinematic joints kinematic joints instead joints instead storing instead storing displacements storing displacements key displacements key poses,0,0,,
enabling realtime rendering large nonlinear finite element models of human hands,background_claim,enabling realtime rendering large nonlinear finite element models human hands,enabling realtime realtime rendering rendering large large nonlinear nonlinear finite finite element element models models human human hands,enabling realtime rendering realtime rendering large rendering large nonlinear large nonlinear finite nonlinear finite element finite element models element models human models human hands,0,0,,
[ 3 ],data,3,,,0,0,,
introduce weighted pose space deformation for deforming realistic models of human hand,background_claim,introduce weighted pose space deformation deforming realistic models human hand,introduce weighted weighted pose pose space space deformation deformation deforming deforming realistic realistic models models human human hand,introduce weighted pose weighted pose space pose space deformation space deformation deforming deformation deforming realistic deforming realistic models realistic models human models human hand,0,0,,
[ 4 ],data,4,,,0,0,,
these example-based approaches can be considered as non-parametric skin deformation methods,background_claim,example based approaches considered non parametric skin deformation methods,example based based approaches approaches considered considered non non parametric parametric skin skin deformation deformation methods,example based approaches based approaches considered approaches considered non considered non parametric non parametric skin parametric skin deformation skin deformation methods,0,0,can,
identifies statistically relevant bones and approximates bone transforms from example mesh animations,background_claim,identifies statistically relevant bones approximates bone transforms example mesh animations,identifies statistically statistically relevant relevant bones bones approximates approximates bone bone transforms transforms example example mesh mesh animations,identifies statistically relevant statistically relevant bones relevant bones approximates bones approximates bone approximates bone transforms bone transforms example transforms example mesh example mesh animations,0,0,,
[ 5 ],data,5,,,0,0,,
these have also seen some development in recent years,background_claim,seen development recent years,seen development development recent recent years,seen development recent development recent years,0,0,,
[ 6 ],data,6,,,0,0,,
[ 7 ],data,7,,,0,0,,
are also common practices in the entertainment production,background_claim,common practices entertainment production,common practices practices entertainment entertainment production,common practices entertainment practices entertainment production,0,0,,
Skinning using free form lattices,background_claim,skinning free form lattices,skinning free free form form lattices,skinning free form free form lattices,0,0,,
NURBS curves,background_claim,nurbs curves,nurbs curves,,0,0,,
[ 10 ],data,10,,,0,0,,
[ 8 ],data,8,,,0,0,,
[ 9 ],data,9,,,0,0,,
the inverse operation can improve the results,own_claim,inverse operation improve results,inverse operation operation improve improve results,inverse operation improve operation improve results,0,0,can,
inverse operation is required,own_claim,inverse operation required,inverse operation operation required,inverse operation required,0,0,,
SSD is widely applied to interactive applications such as games and virtual reality,background_claim,ssd widely applied interactive applications games virtual reality,ssd widely widely applied applied interactive interactive applications applications games games virtual virtual reality,ssd widely applied widely applied interactive applied interactive applications interactive applications games applications games virtual games virtual reality,0,0,,
it is implemented in most commercial animation packages,background_claim,implemented commercial animation packages,implemented commercial commercial animation animation packages,implemented commercial animation commercial animation packages,0,0,,
its simplicity,data,simplicity,,,0,0,,
efficiency,data,efficiency,,,0,0,,
SSD is very popular in circumstances that require animating a number of characters in real time,background_claim,ssd popular circumstances require animating number characters real time,ssd popular popular circumstances circumstances require require animating animating number number characters characters real real time,ssd popular circumstances popular circumstances require circumstances require animating require animating number animating number characters number characters real characters real time,0,0,,
vertex transformations can be easily implemented in the graphic card,data,vertex transformations easily implemented graphic card,vertex transformations transformations easily easily implemented implemented graphic graphic card,vertex transformations easily transformations easily implemented easily implemented graphic implemented graphic card,0,0,can,
the domain of adjusting one vertex in this way is strictly limited to the linear subspace formed by the vertex as transformed by joints influencing this vertex,background_claim,domain adjusting vertex way strictly limited linear subspace formed vertex transformed joints influencing vertex,domain adjusting adjusting vertex vertex way way strictly strictly limited limited linear linear subspace subspace formed formed vertex vertex transformed transformed joints joints influencing influencing vertex,domain adjusting vertex adjusting vertex way vertex way strictly way strictly limited strictly limited linear limited linear subspace linear subspace formed subspace formed vertex formed vertex transformed vertex transformed joints transformed joints influencing joints influencing vertex,0,0,,
